payment_id,order_id,payment_date,payment_method,amount_paid,payment_status
5001,1001,2025-04-05,Card,3000.00,Paid
5002,1002,2025-04-06,Cash,5500.00,Paid
5003,1003,2025-04-07,Card,15000.00,Paid
5004,1004,2025-04-10,Card,3600.00,Paid
5005,1005,2025-04-11,Cash,1750.00,Paid
5006,1006,2025-04-12,Card,0.00,Refunded
5007,1007,2025-04-14,EasyPaisa,1600.00,Paid
5008,1008,2025-04-15,Card,20000.00,Paid
5009,1009,2025-04-16,Cash,600.00,Paid
5010,1010,2025-04-18,Card,2200.00,Paid
5011,1011,2025-04-20,EasyPaisa,1500.00,Paid
5012,1012,2025-04-21,Card,5500.00,Pending
5013,1013,2025-04-22,Cash,1600.00,Paid
5014,1014,2025-04-25,Card,15000.00,Paid
5015,1015,2025-04-27,EasyPaisa,4500.00,Paid
