TransactionID,Date,CustomerID,ProductID,StoreID,Quantity,Discount,PaymentMethod
T00001,2024-06-18 00:00:00,C160,P014,S003,1,0.1,Bank Transfer
T00002,2023-11-02 00:00:00,C171,P030,S004,3,0.15,Bank Transfer
T00003,2024-03-28 00:00:00,C142,P002,S002,2,0.15,Mobile Money
T00004,2024-06-15 00:00:00,C174,P050,S002,5,0.1,Mobile Money
T00005,2024-08-29 00:00:00,C141,P036,S001,3,0.1,Credit Card
T00006,2025-03-28 00:00:00,C111,P036,S005,5,0.1,Mobile Money
T00007,2024-11-09 00:00:00,C114,P009,S004,2,0.15,Credit Card
T00008,2024-05-28 00:00:00,C169,P005,S001,3,0.1,Cash
T00009,2024-09-04 00:00:00,C193,P035,S002,3,0.05,Credit Card
T00010,2024-06-16 00:00:00,C038,P045,S001,1,0.05,Mobile Money
T00011,2025-03-09 00:00:00,C157,P022,S001,4,0.15,Credit Card
T00012,2024-06-06 00:00:00,C184,P042,S004,4,0.15,Credit Card
T00013,2023-10-02 00:00:00,C038,P048,S001,1,0.15,Credit Card
T00014,2024-10-28 00:00:00,C046,P034,S005,4,0,Credit Card
T00015,2025-03-23 00:00:00,C032,P016,S004,2,0.15,Bank Transfer
T00016,2023-12-14 00:00:00,C194,P024,S004,5,0.15,Mobile Money
T00017,2024-12-24 00:00:00,C041,P026,S004,4,0.1,Credit Card
T00018,2025-05-30 00:00:00,C164,P033,S003,5,0.15,Credit Card
T00019,2025-04-21 00:00:00,C071,P011,S004,1,0.1,Credit Card
T00020,2025-01-07 00:00:00,C070,P007,S003,3,0,Credit Card
T00021,2024-11-16 00:00:00,C039,P018,S002,4,0.05,Credit Card
T00022,2024-11-26 00:00:00,C017,P022,S004,4,0.1,Mobile Money
T00023,2024-08-02 00:00:00,C107,P023,S001,2,0.15,Mobile Money
T00024,2025-03-30 00:00:00,C198,P013,S005,1,0.15,Mobile Money
T00025,2024-06-02 00:00:00,C002,P039,S003,3,0.15,Mobile Money
T00026,2024-10-26 00:00:00,C138,P021,S005,5,0.05,Mobile Money
T00027,2024-01-23 00:00:00,C057,P039,S003,4,0.15,Cash
T00028,2024-12-15 00:00:00,C100,P020,S003,4,0.05,Mobile Money
T00029,2025-04-09 00:00:00,C033,P013,S005,5,0,Mobile Money
T00030,2025-02-26 00:00:00,C152,P028,S005,1,0,Mobile Money
T00031,2024-12-16 00:00:00,C035,P019,S004,2,0,Bank Transfer
T00032,2025-01-16 00:00:00,C098,P028,S003,2,0.15,Bank Transfer
T00033,2025-07-20 00:00:00,C087,P021,S004,3,0.15,Bank Transfer
T00034,2023-11-13 00:00:00,C021,P037,S004,1,0,Bank Transfer
T00035,2024-02-16 00:00:00,C058,P047,S001,1,0,Credit Card
T00036,2025-06-03 00:00:00,C052,P049,S001,5,0.05,Credit Card
T00037,2024-01-17 00:00:00,C033,P030,S004,1,0.05,Mobile Money
T00038,2025-05-06 00:00:00,C180,P041,S003,3,0.05,Cash
T00039,2024-10-13 00:00:00,C200,P001,S002,3,0,Cash
T00040,2024-08-02 00:00:00,C080,P011,S005,4,0.15,Credit Card
T00041,2023-12-20 00:00:00,C020,P044,S005,2,0,Bank Transfer
T00042,2024-06-03 00:00:00,C176,P025,S005,1,0,Bank Transfer
T00043,2024-10-30 00:00:00,C137,P011,S004,3,0,Bank Transfer
T00044,2024-12-31 00:00:00,C004,P033,S004,4,0,Mobile Money
T00045,2024-09-30 00:00:00,C093,P045,S004,2,0.15,Credit Card
T00046,2023-11-27 00:00:00,C188,P027,S005,3,0.15,Mobile Money
T00047,2025-05-06 00:00:00,C112,P045,S005,3,0.1,Credit Card
T00048,2025-01-25 00:00:00,C023,P011,S003,4,0.05,Mobile Money
T00049,2025-08-09 00:00:00,C146,P013,S005,4,0.1,Cash
T00050,2025-08-14 00:00:00,C127,P007,S003,2,0.15,Credit Card
T00051,2024-09-25 00:00:00,C091,P026,S003,3,0.1,Bank Transfer
T00052,2025-05-09 00:00:00,C143,P022,S001,5,0.05,Cash
T00053,2024-09-30 00:00:00,C062,P047,S004,4,0.05,Mobile Money
T00054,2024-01-29 00:00:00,C166,P001,S004,4,0,Cash
T00055,2024-06-27 00:00:00,C076,P009,S002,4,0.05,Bank Transfer
T00056,2025-08-19 00:00:00,C170,P028,S005,3,0.15,Bank Transfer
T00057,2024-10-11 00:00:00,C109,P011,S005,3,0.1,Mobile Money
T00058,2024-01-20 00:00:00,C070,P034,S003,3,0.05,Cash
T00059,2025-02-14 00:00:00,C185,P027,S002,3,0,Credit Card
T00060,2024-11-26 00:00:00,C050,P044,S002,4,0.1,Bank Transfer
T00061,2025-03-20 00:00:00,C026,P006,S002,3,0.05,Bank Transfer
T00062,2025-05-03 00:00:00,C046,P027,S003,1,0.05,Bank Transfer
T00063,2024-06-01 00:00:00,C012,P036,S001,5,0.1,Credit Card
T00064,2024-11-15 00:00:00,C164,P048,S004,1,0,Bank Transfer
T00065,2024-05-26 00:00:00,C121,P028,S004,4,0.1,Credit Card
T00066,2024-04-20 00:00:00,C014,P010,S003,4,0,Cash
